Item No.,Client Item No.,Product Name,Type of Product,Stock Qnty,Class,End Connection,Material,Trim Material,Spare Parts,DWG Status,Qty (PCS)
26,61,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,7
27,62,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,30
28,63,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,20
29,64,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,6
30,65,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,7
31,66,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,30
32,67,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,20
33,68,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,6
64,113,Check Valve,BC Piston Type,16,900,Flanged RTJ,A105 N,Trim No.5-5-7 Seal&Disc:Wedge-316L,bonnet gasket 10% for each type size,Deleted,2
65,117,Check Valve,BC Piston Type,1,900,Flanged RTJ,A105 N,Trim No.5-5-7 Seal&Disc:Wedge-316L,bonnet gasket 10%,Approved with comment,26
66,114,Check Valve,BC Piston Type,1,800,SW,A105,Trim No.5-5-7 Seal&Disc:Wedge-316L,bonnet gasket 10%,Approved with comment,7
67,114,Check Valve,BC Piston Type,1,800,SW,A105,Trim No.5-5-7 Seal&Disc:Wedge-316L,bonnet gasket 10%,Approved,7
68,122,Swing Check Valve,BC,2,150,Flanged RF,A216 WCB,Trim No.13% Cr Seats: 316,"1-gland packing and bonnet gasket 10%; 2-set of changeable inner parts including Hinge Pin and Disc for each type, size and material",Approved with comment,9
69,123,Swing Check Valve,BC,2,900,Flanged RTJ,A216 WCB,Trim No.5-5-7 Seal&Disc:Wedge-316L,"1-gland packing and bonnet gasket 10%; 2-set of changeable inner parts including Hinge Pin and Disc for each type, size and material",Approved with comment,32
70,125,Swing Check Valve,BC,2-3-10,API 10000,Flanged RTJ,A105 N,***,1-gland packing and bonnet gasket 10%; 2-set of changeable gaskets for each API class material,Approved with comment,55
